,loss,set
0,13.99791739697865,train
1,1.4623323901989944,valid
2,2.9846966106179638,train
3,1.3404831993376314,valid
4,2.509818551994547,train
5,1.6057860683580638,valid
6,2.3416850090366097,train
7,1.3088271271855014,valid
8,2.2624517616156665,train
9,1.4423824157552003,valid
10,2.2116697630545863,train
11,1.2454628451010343,valid
12,2.1731192401645254,train
13,1.0284352137056563,valid
14,2.1431935605119494,train
15,1.0995146982211401,valid
16,2.1200036414711563,train
17,1.0384353920762064,valid
18,2.099157196622697,train
19,1.0204405189887984,valid
20,2.083194292801685,train
21,0.9779848303720521,valid
22,2.0694245834366356,train
23,0.9385060011101548,valid
24,2.0574116677462424,train
25,0.9295747740541287,valid
26,2.0478431440874507,train
27,0.9156749761361234,valid
28,2.03832533376398,train
29,0.8561793577033853,valid
30,2.031428424131158,train
31,0.9130695306909642,valid
32,2.024548530894934,train
33,0.892306047540819,valid
34,2.0194719639427214,train
35,0.8737233188210723,valid
36,2.0134180138221,train
37,0.8644242900649795,valid
38,2.008934391407438,train
39,0.8691906090037594,valid
